Driver,LapTime,Sector1Time,Sector2Time,Sector3Time
RIC,0 days 00:01:43.470000,0 days 00:00:27.587000,0 days 00:00:31.455000,0 days 00:00:44.428000
RIC,0 days 00:01:43.073000,0 days 00:00:27.047000,0 days 00:00:31.569000,0 days 00:00:44.457000
RIC,0 days 00:01:42.976000,0 days 00:00:27.253000,0 days 00:00:31.383000,0 days 00:00:44.340000
RIC,0 days 00:01:43.449000,0 days 00:00:27.483000,0 days 00:00:31.532000,0 days 00:00:44.434000
RIC,0 days 00:01:43.613000,0 days 00:00:27.519000,0 days 00:00:31.527000,0 days 00:00:44.567000
RIC,0 days 00:01:43.798000,0 days 00:00:27.670000,0 days 00:00:31.366000,0 days 00:00:44.762000
RIC,0 days 00:01:43.843000,0 days 00:00:27.696000,0 days 00:00:31.337000,0 days 00:00:44.810000
RIC,0 days 00:01:43.605000,0 days 00:00:27.551000,0 days 00:00:31.371000,0 days 00:00:44.683000
RIC,0 days 00:01:43.309000,0 days 00:00:27.532000,0 days 00:00:31.168000,0 days 00:00:44.609000
RIC,0 days 00:01:43.487000,0 days 00:00:27.366000,0 days 00:00:31.505000,0 days 00:00:44.616000
RIC,0 days 00:01:43.115000,0 days 00:00:27.577000,0 days 00:00:31.201000,0 days 00:00:44.337000
RIC,0 days 00:01:43.016000,0 days 00:00:27.628000,0 days 00:00:31.199000,0 days 00:00:44.189000
RIC,0 days 00:01:47.802000,0 days 00:00:27.652000,0 days 00:00:31.137000,0 days 00:00:49.013000
RIC,0 days 00:02:00.257000,0 days 00:00:45.802000,0 days 00:00:30.413000,0 days 00:00:44.042000
RIC,0 days 00:01:40.994000,0 days 00:00:26.682000,0 days 00:00:30.497000,0 days 00:00:43.815000
RIC,0 days 00:01:41.077000,0 days 00:00:26.947000,0 days 00:00:30.664000,0 days 00:00:43.466000
RIC,0 days 00:01:41.542000,0 days 00:00:27.188000,0 days 00:00:30.487000,0 days 00:00:43.867000
RIC,0 days 00:01:41.955000,0 days 00:00:27.157000,0 days 00:00:31.044000,0 days 00:00:43.754000
